roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-1486,male,group C,some college,0,0,78,82,38,86,284,B
std-1487,male,group B,some college,1,1,25,77,23,72,197,D
std-1488,male,group B,some high school,1,0,58,80,82,74,294,B
std-1489,male,group A,some high school,0,0,88,76,99,29,292,B
std-1490,male,group C,some college,0,0,51,55,56,58,220,C
std-1491,male,group D,associate's degree,1,0,26,61,53,42,182,D
std-1492,male,group C,some college,1,1,41,97,61,56,255,B
std-1493,male,group A,bachelor's degree,1,0,37,78,55,51,221,C
std-1494,male,group D,high school,1,0,56,86,32,66,240,C
std-1495,male,group C,bachelor's degree,1,1,86,73,55,75,289,B
std-1496,male,group C,bachelor's degree,0,0,64,51,27,48,190,D
std-1497,male,group A,bachelor's degree,0,0,61,88,50,85,284,B
std-1498,male,group B,some college,1,1,59,85,83,51,278,B
std-1499,male,group C,some high school,1,0,11,100,58,51,220,C
std-1500,male,group A,high school,0,0,41,55,68,47,211,C
std-1501,male,group B,associate's degree,1,0,46,60,77,91,274,B
std-1502,male,group B,associate's degree,1,0,17,78,61,39,195,D
std-1503,male,group A,some college,0,1,28,100,88,55,271,B
std-1504,male,group B,associate's degree,0,0,32,77,70,82,261,B
std-1505,male,group E,some high school,0,1,64,65,31,86,246,C
std-1506,male,group B,high school,1,0,10,28,69,76,183,D
std-1507,male,group E,some high school,0,0,44,100,28,60,232,C
std-1508,male,group D,high school,0,0,72,79,11,47,209,C
std-1509,male,group A,some high school,1,0,38,92,53,49,232,C
std-1510,male,group C,some college,1,0,14,77,95,70,256,B
std-1511,male,group D,high school,0,0,83,47,72,81,283,B
std-1512,male,group C,some high school,1,0,7,38,39,42,126,Fail
std-1513,male,group A,some college,0,0,59,100,59,45,263,B
std-1514,male,group C,high school,1,1,49,100,59,70,278,B
std-1515,male,group E,high school,0,1,80,95,89,35,299,B
std-1516,male,group B,high school,0,0,100,68,82,62,312,B
std-1517,male,group B,master's degree,1,1,80,51,69,47,247,C
std-1518,male,group C,bachelor's degree,1,1,39,52,43,56,190,D
std-1519,male,group A,associate's degree,1,0,56,62,79,73,270,B
std-1520,male,group A,high school,1,0,75,75,89,62,301,B
std-1521,male,group E,some college,1,1,100,99,37,58,294,B
std-1522,male,group C,bachelor's degree,1,1,58,69,64,62,253,B
std-1523,male,group D,some college,1,0,39,17,55,83,194,D
std-1524,male,group B,master's degree,1,0,42,90,65,81,278,B
std-1525,male,group D,high school,0,0,78,71,63,87,299,B
std-1526,male,group B,associate's degree,1,0,90,58,60,58,266,B
std-1527,male,group D,associate's degree,1,0,48,59,64,34,205,C
std-1528,male,group C,bachelor's degree,0,0,25,67,54,58,204,C
std-1529,male,group D,some high school,1,0,76,95,75,61,307,B
std-1530,male,group B,associate's degree,0,0,32,100,77,100,309,B
std-1531,male,group D,bachelor's degree,1,0,18,55,70,51,194,D
std-1532,male,group C,high school,0,0,45,59,68,60,232,C
std-1533,male,group D,associate's degree,1,0,68,90,65,85,308,B
std-1534,male,group D,some college,0,1,69,84,25,72,250,B
std-1535,male,group B,bachelor's degree,1,0,15,74,59,30,178,D
std-1536,male,group B,associate's degree,1,1,39,77,63,59,238,C
std-1537,male,group E,bachelor's degree,1,0,57,62,92,68,279,B
std-1538,male,group D,master's degree,1,1,65,53,64,43,225,C
std-1539,male,group D,some high school,1,1,44,18,51,41,154,D
std-1540,male,group D,high school,1,1,38,79,94,100,311,B
std-1541,male,group C,master's degree,0,0,83,66,90,48,287,B
std-1542,male,group C,high school,0,0,63,53,70,88,274,B
std-1543,male,group D,high school,1,0,52,100,85,98,335,A
std-1544,male,group E,some college,1,1,37,74,67,63,241,C
std-1545,male,group D,high school,0,0,47,58,49,59,213,C
std-1546,male,group D,high school,0,0,15,57,65,44,181,D
std-1547,male,group C,bachelor's degree,1,0,65,18,56,80,219,C
std-1548,male,group C,bachelor's degree,0,1,69,61,33,51,214,C
std-1549,male,group D,some college,0,1,65,71,84,88,308,B
std-1550,male,group D,high school,1,0,58,83,88,65,294,B
std-1551,male,group A,some college,0,1,24,63,50,92,229,C
std-1552,male,group C,some high school,1,0,73,88,95,100,356,A
std-1553,male,group C,bachelor's degree,1,0,58,89,39,54,240,C
std-1554,male,group A,some college,0,0,55,100,59,44,258,B
std-1555,male,group E,some college,0,1,42,94,85,72,293,B
std-1556,male,group C,some college,1,1,95,83,68,89,335,A
std-1557,male,group D,some college,1,0,38,61,57,50,206,C
std-1558,male,group C,some college,1,0,54,68,33,91,246,C
std-1559,male,group D,bachelor's degree,0,1,54,100,62,76,292,B
std-1560,male,group C,some high school,0,1,75,84,96,82,337,A
std-1561,male,group E,high school,1,1,59,83,89,71,302,B
std-1562,male,group D,bachelor's degree,1,0,67,60,38,73,238,C
std-1563,male,group B,associate's degree,1,0,60,65,50,93,268,B
std-1564,male,group D,some college,0,0,31,66,66,65,228,C
std-1565,male,group E,master's degree,1,0,60,49,73,63,245,C
std-1566,male,group C,some college,1,1,71,85,54,48,258,B
std-1567,male,group E,high school,1,0,38,95,52,55,240,C
std-1568,male,group C,associate's degree,1,0,65,66,64,100,295,B
std-1569,male,group D,master's degree,1,0,65,65,68,77,275,B
std-1570,male,group D,master's degree,1,1,18,97,64,58,237,C
std-1571,male,group C,some high school,0,0,60,68,84,43,255,B
std-1572,male,group E,some high school,0,0,44,82,77,89,292,B
std-1573,male,group C,associate's degree,1,1,27,96,89,45,257,B
std-1574,male,group B,master's degree,1,1,25,43,58,34,160,D
std-1575,male,group D,some high school,1,0,30,57,71,81,239,C
std-1576,male,group E,high school,1,0,47,60,67,78,252,B
std-1577,male,group D,associate's degree,1,1,62,81,95,60,298,B
std-1578,male,group B,some college,0,0,53,72,73,84,282,B
std-1579,male,group B,high school,0,0,65,100,61,79,305,B
std-1580,male,group C,associate's degree,0,1,42,100,49,41,232,C
std-1581,male,group B,bachelor's degree,1,0,76,43,94,55,268,B
std-1582,male,group D,some college,0,0,27,61,24,100,212,C
std-1583,male,group B,bachelor's degree,1,0,41,63,39,38,181,D
std-1584,male,group E,master's degree,1,0,25,98,50,41,214,C
std-1585,male,group C,master's degree,0,0,26,71,56,29,182,D
std-1586,male,group E,some high school,1,0,97,83,66,100,346,A
std-1587,male,group E,some high school,0,1,63,80,52,72,267,B
std-1588,male,group D,some college,1,0,70,60,83,30,243,C
std-1589,male,group B,master's degree,1,0,35,75,63,69,242,C
std-1590,male,group D,some high school,0,1,48,64,61,53,226,C
std-1591,male,group D,master's degree,1,0,10,100,73,41,224,C
std-1592,male,group D,some college,0,1,27,88,94,48,257,B
std-1593,male,group E,high school,0,0,85,66,45,49,245,C
std-1594,male,group B,high school,1,0,87,47,34,38,206,C
std-1595,male,group C,associate's degree,1,0,52,74,43,53,222,C
std-1596,male,group C,some college,1,0,55,79,60,59,253,B
std-1597,male,group C,associate's degree,1,1,22,45,57,62,186,D
std-1598,male,group C,associate's degree,1,0,88,61,53,61,263,B
std-1599,male,group D,high school,0,0,31,62,54,36,183,D
std-1600,male,group B,bachelor's degree,1,0,63,74,66,85,288,B
std-1601,male,group D,bachelor's degree,1,1,42,65,71,100,278,B
std-1602,male,group D,high school,0,0,45,100,88,87,320,A
std-1603,male,group C,some high school,1,0,69,58,30,84,241,C
std-1604,male,group C,associate's degree,0,0,16,77,90,47,230,C
std-1605,male,group E,master's degree,1,1,32,88,79,75,274,B
std-1606,male,group E,some college,0,1,91,95,69,39,294,B
std-1607,male,group E,associate's degree,1,0,40,53,59,66,218,C
std-1608,male,group C,high school,1,1,51,87,80,57,275,B
std-1609,male,group C,associate's degree,1,1,31,100,48,62,241,C
std-1610,male,group E,some college,1,0,22,17,63,70,172,D
std-1611,male,group B,associate's degree,1,0,78,78,54,86,296,B
std-1612,male,group D,some high school,0,0,36,29,62,14,141,Fail
std-1613,male,group A,associate's degree,1,1,84,70,49,80,283,B
std-1614,male,group C,associate's degree,1,1,91,100,58,24,273,B
std-1615,male,group E,associate's degree,0,0,35,62,62,18,177,D
std-1616,male,group E,some high school,0,0,48,77,58,50,233,C
std-1617,male,group B,bachelor's degree,1,0,54,61,74,71,260,B
std-1618,male,group D,associate's degree,0,0,23,72,84,100,279,B
std-1619,male,group E,bachelor's degree,0,0,23,66,85,55,229,C
std-1620,male,group B,some college,0,0,100,58,38,78,274,B
std-1621,male,group C,associate's degree,1,1,68,95,69,30,262,B
std-1622,male,group A,some college,0,0,68,74,32,68,242,C
std-1623,male,group D,associate's degree,1,0,45,79,81,31,236,C
std-1624,male,group B,bachelor's degree,1,0,78,32,60,53,223,C
std-1625,male,group B,bachelor's degree,1,1,43,65,27,91,226,C
std-1626,male,group E,bachelor's degree,1,1,58,26,52,90,226,C
std-1627,male,group B,associate's degree,0,0,85,75,78,72,310,B
std-1628,male,group E,high school,1,1,73,57,10,63,203,C
std-1629,male,group C,high school,1,0,59,88,64,61,272,B
std-1630,male,group B,high school,1,0,93,44,100,65,302,B
std-1631,male,group B,associate's degree,1,0,84,51,81,43,259,B
std-1632,male,group D,high school,1,0,72,59,76,34,241,C
std-1633,male,group D,high school,1,1,39,73,49,99,260,B
std-1634,male,group A,some college,1,1,86,60,80,76,302,B
std-1635,male,group C,high school,0,0,67,63,72,42,244,C
std-1636,male,group B,bachelor's degree,0,1,53,69,71,65,258,B
std-1637,male,group E,some college,1,1,26,58,55,100,239,C
std-1638,male,group B,high school,1,0,33,57,33,74,197,D
std-1639,male,group E,some college,0,0,18,100,75,51,244,C
std-1640,male,group A,high school,1,0,35,79,98,100,312,B
std-1641,male,group C,bachelor's degree,1,0,78,81,78,59,296,B
std-1642,male,group A,some college,1,0,38,73,32,73,216,C
std-1643,male,group B,high school,0,1,72,100,65,77,314,B
std-1644,male,group D,some college,0,1,43,82,72,64,261,B
std-1645,male,group C,bachelor's degree,0,1,73,58,64,33,228,C
std-1646,male,group B,some college,1,1,82,97,46,63,288,B
std-1647,male,group D,some college,1,1,60,71,60,87,278,B
std-1648,male,group E,high school,0,0,29,90,58,93,270,B
std-1649,male,group C,bachelor's degree,0,0,20,86,100,88,294,B
std-1650,male,group C,bachelor's degree,1,0,67,65,88,55,275,B
std-1651,male,group D,bachelor's degree,1,0,34,54,41,65,194,D
std-1652,male,group E,some high school,1,0,27,81,45,21,174,D
std-1653,male,group E,some college,0,0,19,18,62,78,177,D
std-1654,male,group D,bachelor's degree,1,1,29,97,54,59,239,C
std-1655,male,group B,some college,1,0,100,81,82,83,346,A
std-1656,male,group E,associate's degree,0,0,62,94,91,58,305,B
std-1657,male,group E,some college,0,1,31,66,81,46,224,C
std-1658,male,group C,master's degree,1,0,37,74,64,29,204,C
std-1659,male,group D,some college,0,1,47,37,63,88,235,C
std-1660,male,group B,bachelor's degree,0,1,47,85,54,57,243,C
std-1661,male,group D,bachelor's degree,1,0,55,94,87,38,274,B
std-1662,male,group C,some college,1,1,100,72,82,60,314,B
std-1663,male,group B,bachelor's degree,1,0,12,65,63,50,190,D
std-1664,male,group B,associate's degree,0,0,55,100,41,70,266,B
std-1665,male,group D,bachelor's degree,0,0,74,19,54,57,204,C
std-1666,male,group C,associate's degree,1,0,63,89,65,54,271,B
std-1667,male,group C,associate's degree,0,0,53,89,100,51,293,B
std-1668,male,group C,some high school,1,0,86,49,50,54,239,C
std-1669,male,group C,bachelor's degree,0,0,33,43,70,9,155,D
std-1670,male,group B,some college,1,0,23,79,30,97,229,C
std-1671,male,group B,master's degree,0,0,97,100,57,39,293,B
std-1672,male,group D,master's degree,0,0,27,23,86,73,209,C
std-1673,male,group B,associate's degree,1,0,22,87,55,72,236,C
std-1674,male,group B,associate's degree,1,0,37,93,45,40,215,C
std-1675,male,group B,high school,0,0,45,56,88,74,263,B
std-1676,male,group C,some college,1,1,85,78,90,62,315,B
std-1677,male,group C,high school,1,1,54,89,40,87,270,B
std-1678,male,group C,associate's degree,1,1,36,69,100,49,254,B
std-1679,male,group C,high school,0,0,25,83,65,25,198,D
std-1680,male,group D,some college,1,1,42,43,83,41,209,C
std-1681,male,group D,bachelor's degree,1,0,65,100,100,81,346,A
std-1682,male,group C,some college,1,0,25,76,100,87,288,B
std-1683,male,group C,high school,1,0,82,87,83,34,286,B
std-1684,male,group B,master's degree,1,0,72,17,69,66,224,C
std-1685,male,group D,associate's degree,0,0,39,67,75,84,265,B
std-1686,male,group C,associate's degree,1,0,58,83,76,83,300,B
std-1687,male,group B,some high school,0,1,25,43,63,9,140,Fail
std-1688,male,group B,associate's degree,0,0,89,55,74,60,278,B
std-1689,male,group C,some college,1,1,95,60,89,92,336,A
std-1690,male,group C,associate's degree,1,0,64,51,63,63,241,C
std-1691,male,group D,some high school,0,1,18,39,86,74,217,C
std-1692,male,group D,some high school,0,1,57,78,73,100,308,B
std-1693,male,group D,high school,0,0,33,87,88,73,281,B
std-1694,male,group A,some college,0,0,41,90,46,37,214,C
std-1695,male,group E,bachelor's degree,1,0,16,42,30,90,178,D
std-1696,male,group C,bachelor's degree,0,1,65,71,28,54,218,C
std-1697,male,group D,high school,1,0,36,62,69,65,232,C
std-1698,male,group B,associate's degree,0,0,29,86,100,58,273,B
std-1699,male,group D,master's degree,1,1,29,68,79,83,259,B
std-1700,male,group E,bachelor's degree,1,0,73,80,63,63,279,B
std-1701,male,group B,some high school,0,0,48,60,63,79,250,B
std-1702,male,group E,master's degree,0,0,42,69,77,62,250,B
std-1703,male,group B,bachelor's degree,1,1,81,93,98,71,343,A
std-1704,male,group B,some college,1,0,83,70,53,69,275,B
std-1705,male,group B,some college,1,0,79,57,48,57,241,C
std-1706,male,group C,some college,1,0,80,79,73,60,292,B
std-1707,male,group B,some high school,0,0,38,71,92,71,272,B
std-1708,male,group D,associate's degree,1,1,34,96,66,48,244,C
std-1709,male,group E,some college,1,0,66,70,65,81,282,B
std-1710,male,group C,bachelor's degree,1,1,63,59,67,50,239,C
std-1711,male,group C,master's degree,1,1,38,90,76,53,257,B
std-1712,male,group C,some college,1,0,64,100,94,61,319,B
std-1713,male,group B,some college,1,1,35,90,53,39,217,C
std-1714,male,group C,some college,1,1,53,78,47,57,235,C
std-1715,male,group D,high school,1,1,60,17,78,74,229,C
std-1716,male,group C,high school,1,0,10,82,70,78,240,C
std-1717,male,group A,bachelor's degree,1,0,60,59,55,63,237,C
std-1718,male,group D,high school,0,1,11,100,50,67,228,C
std-1719,male,group C,high school,1,0,60,78,57,71,266,B
std-1720,male,group A,some high school,1,1,83,77,71,84,315,B
std-1721,male,group C,some high school,0,0,21,95,84,93,293,B
std-1722,male,group A,some college,1,1,37,76,77,100,290,B
std-1723,male,group C,associate's degree,1,1,86,78,49,88,301,B
std-1724,male,group D,some college,1,0,27,100,75,24,226,C
std-1725,male,group C,some high school,0,0,56,87,85,79,307,B
std-1726,male,group C,master's degree,1,0,14,99,100,52,265,B
std-1727,male,group A,high school,0,0,39,82,50,45,216,C
std-1728,male,group E,bachelor's degree,1,1,58,74,74,47,253,B
std-1729,male,group C,some college,0,0,0,71,91,62,224,C
std-1730,male,group C,some college,0,0,61,93,56,69,279,B
std-1731,male,group C,master's degree,0,1,76,87,79,75,317,B
std-1732,male,group D,master's degree,1,0,49,81,43,38,211,C
std-1733,male,group B,some college,0,1,74,41,66,84,265,B
std-1734,male,group C,high school,1,0,52,66,78,50,246,C
std-1735,male,group C,some college,1,0,29,68,55,94,246,C
std-1736,male,group D,some high school,1,0,63,87,60,82,292,B
std-1737,male,group E,associate's degree,0,0,85,66,53,100,304,B
std-1738,male,group E,bachelor's degree,0,0,58,76,52,87,273,B
std-1739,male,group A,some high school,1,1,60,60,82,46,248,C
std-1740,male,group B,associate's degree,0,0,27,67,57,56,207,C
std-1741,male,group B,some college,0,1,63,61,41,50,215,C
std-1742,male,group B,high school,0,0,18,17,75,35,145,Fail
std-1743,male,group C,bachelor's degree,1,1,66,48,50,38,202,C
std-1744,male,group E,some college,0,0,48,59,77,45,229,C
std-1745,male,group A,associate's degree,1,0,38,66,43,42,189,D
std-1746,male,group B,associate's degree,0,0,17,54,98,97,266,B
std-1747,male,group D,associate's degree,1,0,72,80,72,84,308,B
std-1748,male,group C,associate's degree,1,1,54,55,67,74,250,B
std-1749,male,group B,some college,0,0,94,74,58,57,283,B
std-1750,male,group B,bachelor's degree,1,1,30,65,84,63,242,C
std-1751,male,group E,some college,1,0,70,78,62,100,310,B
std-1752,male,group A,high school,0,1,23,45,69,52,189,D
std-1753,male,group D,bachelor's degree,0,0,25,50,48,79,202,C
std-1754,male,group B,associate's degree,0,1,67,42,49,44,202,C
std-1755,male,group B,high school,0,1,90,75,36,80,281,B
std-1756,male,group C,some college,1,1,63,72,54,92,281,B
std-1757,male,group A,high school,1,0,50,52,52,78,232,C
std-1758,male,group D,some high school,1,0,21,92,98,100,311,B
std-1759,male,group D,master's degree,1,1,38,84,84,91,297,B
std-1760,male,group C,some college,0,1,30,78,65,82,255,B
std-1761,male,group C,associate's degree,1,1,83,69,81,90,323,A
std-1762,male,group B,master's degree,0,0,51,75,52,83,261,B
std-1763,male,group C,bachelor's degree,1,1,57,76,80,55,268,B
std-1764,male,group E,high school,0,1,61,100,100,80,341,A
std-1765,male,group C,some college,0,0,84,23,45,88,240,C
std-1766,male,group D,some college,1,1,31,100,67,85,283,B
std-1767,male,group E,some high school,0,1,41,96,35,41,213,C
std-1768,male,group C,bachelor's degree,1,0,60,80,58,76,274,B
std-1769,male,group D,master's degree,1,0,13,82,84,42,221,C
std-1770,male,group D,high school,1,0,61,71,62,92,286,B
std-1771,male,group D,high school,0,0,64,100,49,74,287,B
std-1772,male,group D,some high school,1,0,64,94,66,50,274,B
std-1773,male,group B,master's degree,0,0,87,59,85,65,296,B
std-1774,male,group B,associate's degree,0,0,65,76,73,57,271,B
std-1775,male,group E,associate's degree,1,0,56,100,60,68,284,B
std-1776,male,group C,some college,0,1,37,71,73,34,215,C
std-1777,male,group C,high school,1,1,88,82,65,51,286,B
std-1778,male,group B,master's degree,1,1,72,45,71,41,229,C
std-1779,male,group C,some college,1,0,33,51,72,76,232,C
std-1780,male,group D,some college,0,1,14,57,58,88,217,C
std-1781,male,group E,some college,1,1,30,65,96,59,250,B
std-1782,male,group A,some college,0,0,69,100,92,83,344,A
std-1783,male,group C,some college,1,0,100,61,60,48,269,B
std-1784,male,group C,bachelor's degree,1,0,62,76,93,75,306,B
std-1785,male,group B,bachelor's degree,0,1,39,89,77,26,231,C
std-1786,male,group D,some high school,0,0,37,89,69,41,236,C
std-1787,male,group B,high school,0,0,58,100,57,66,281,B
std-1788,male,group C,high school,1,0,39,64,74,72,249,C
std-1789,male,group A,high school,0,1,80,50,58,59,247,C
std-1790,male,group D,some college,0,0,70,59,45,89,263,B
std-1791,male,group C,bachelor's degree,0,0,44,71,43,56,214,C
std-1792,male,group E,some high school,0,0,20,53,59,70,202,C
std-1793,male,group D,some college,1,0,41,80,42,73,236,C
std-1794,male,group D,bachelor's degree,1,0,22,82,95,52,251,B
std-1795,male,group B,some high school,1,0,66,100,72,84,322,A
std-1796,male,group B,bachelor's degree,1,1,28,63,53,100,244,C
std-1797,male,group C,master's degree,1,0,90,76,83,49,298,B
std-1798,male,group B,some college,1,0,81,82,73,47,283,B
std-1799,male,group C,some high school,0,1,33,96,84,68,281,B
std-1800,male,group C,some college,1,1,23,63,88,62,236,C
std-1801,male,group D,master's degree,1,1,56,47,88,51,242,C
std-1802,male,group A,associate's degree,1,1,17,60,71,56,204,C
std-1803,male,group C,some college,0,0,38,100,98,77,313,B
std-1804,male,group E,high school,1,0,58,65,62,47,232,C
std-1805,male,group C,high school,0,1,37,81,49,89,256,B
std-1806,male,group C,associate's degree,1,1,94,35,64,61,254,B
std-1807,male,group C,high school,0,0,45,53,65,30,193,D
std-1808,male,group D,some college,1,0,26,65,71,44,206,C
std-1809,male,group B,bachelor's degree,0,1,38,46,62,70,216,C
std-1810,male,group B,some high school,1,0,30,88,25,72,215,C
std-1811,male,group E,bachelor's degree,0,0,44,100,56,97,297,B
std-1812,male,group B,bachelor's degree,0,0,18,70,51,73,212,C
std-1813,male,group E,associate's degree,1,0,28,69,64,51,212,C
std-1814,male,group B,high school,1,1,42,74,71,49,236,C
std-1815,male,group A,high school,1,1,57,64,97,62,280,B
std-1816,male,group D,some college,1,0,79,94,74,60,307,B
std-1817,male,group B,master's degree,1,1,66,68,30,37,201,C
std-1818,male,group D,high school,0,0,78,89,40,76,283,B
std-1819,male,group D,some college,0,0,25,100,27,100,252,B
std-1820,male,group B,associate's degree,0,0,22,85,88,78,273,B
std-1821,male,group B,some college,1,0,45,94,100,91,330,A
std-1822,male,group B,bachelor's degree,0,0,55,45,88,92,280,B
std-1823,male,group C,high school,1,1,96,100,75,56,327,A
std-1824,male,group D,some college,0,1,42,76,65,86,269,B
std-1825,male,group D,high school,0,1,39,100,10,74,223,C
std-1826,male,group C,some high school,1,1,52,74,72,35,233,C
std-1827,male,group B,master's degree,1,1,70,74,76,80,300,B
std-1828,male,group C,high school,0,0,30,97,63,27,217,C
std-1829,male,group C,high school,1,0,74,77,97,53,301,B
std-1830,male,group B,associate's degree,0,1,31,96,88,64,279,B
std-1831,male,group D,some college,0,1,99,72,61,87,319,B
std-1832,male,group B,some high school,1,0,61,87,29,84,261,B
std-1833,male,group D,bachelor's degree,0,1,89,88,36,75,288,B
std-1834,male,group E,some high school,0,0,40,98,49,56,243,C
std-1835,male,group A,some college,1,0,62,79,52,72,265,B
std-1836,male,group D,bachelor's degree,1,1,78,93,73,77,321,A
std-1837,male,group A,high school,1,0,41,88,66,76,271,B
std-1838,male,group D,some college,0,1,83,89,91,71,334,A
std-1839,male,group B,associate's degree,0,0,77,51,38,44,210,C
std-1840,male,group C,bachelor's degree,1,1,21,69,61,34,185,D
std-1841,male,group C,high school,0,0,31,68,37,100,236,C
std-1842,male,group D,some college,1,1,74,86,56,39,255,B
std-1843,male,group E,associate's degree,1,0,18,83,32,60,193,D
std-1844,male,group C,master's degree,1,1,74,88,58,56,276,B
std-1845,male,group D,master's degree,0,1,73,75,34,66,248,C
std-1846,male,group A,associate's degree,1,0,22,82,59,97,260,B
std-1847,male,group E,some college,0,1,69,78,57,90,294,B
std-1848,male,group C,some college,1,1,12,74,94,60,240,C
std-1849,male,group C,bachelor's degree,0,0,50,100,37,90,277,B
std-1850,male,group C,some high school,0,1,62,69,60,60,251,B
std-1851,male,group B,bachelor's degree,1,0,41,47,72,62,222,C
std-1852,male,group D,some college,1,1,82,58,87,91,318,B
std-1853,male,group C,high school,1,0,23,100,99,37,259,B
std-1854,male,group B,some high school,1,0,44,57,60,29,190,D
std-1855,male,group E,some college,0,1,55,46,34,46,181,D
std-1856,male,group B,associate's degree,0,0,34,88,83,75,280,B
std-1857,male,group C,some high school,1,0,44,77,60,94,275,B
std-1858,male,group D,high school,1,0,53,76,74,82,285,B
std-1859,male,group D,bachelor's degree,1,0,16,76,97,9,198,D
std-1860,male,group C,some college,1,0,29,73,64,37,203,C
std-1861,male,group C,master's degree,1,1,65,94,83,35,277,B
std-1862,male,group B,some college,1,0,57,58,89,52,256,B
std-1863,male,group A,high school,0,0,39,67,61,83,250,B
std-1864,male,group C,some college,1,0,90,77,70,76,313,B
std-1865,male,group B,bachelor's degree,0,0,35,77,46,96,254,B
std-1866,male,group C,associate's degree,0,0,40,79,58,12,189,D
std-1867,male,group D,associate's degree,0,0,73,34,60,20,187,D
std-1868,male,group B,master's degree,1,1,92,43,60,65,260,B
std-1869,male,group C,high school,1,0,75,79,91,50,295,B
std-1870,male,group E,some college,0,0,63,44,39,46,192,D
std-1871,male,group D,some college,1,0,77,62,95,46,280,B
std-1872,male,group D,some college,1,1,55,81,54,38,228,C
std-1873,male,group B,master's degree,0,0,80,81,87,88,336,A
std-1874,male,group C,bachelor's degree,0,0,48,76,71,68,263,B
std-1875,male,group E,master's degree,0,0,28,100,94,45,267,B
std-1876,male,group D,high school,0,1,27,33,70,74,204,C
std-1877,male,group B,master's degree,1,0,25,58,64,31,178,D
std-1878,male,group C,bachelor's degree,0,0,40,84,42,74,240,C
std-1879,male,group C,bachelor's degree,0,0,30,96,64,83,273,B
std-1880,male,group C,bachelor's degree,1,0,81,57,71,100,309,B
std-1881,male,group D,master's degree,1,0,58,55,53,49,215,C
std-1882,male,group B,high school,0,0,17,92,92,52,253,B
std-1883,male,group C,associate's degree,1,0,11,43,54,32,140,Fail
std-1884,male,group E,bachelor's degree,1,1,37,70,59,42,208,C
std-1885,male,group C,bachelor's degree,1,0,79,97,94,82,352,A
std-1886,male,group A,master's degree,1,0,31,85,70,60,246,C
std-1887,male,group C,high school,1,0,64,71,51,100,286,B
std-1888,male,group D,associate's degree,0,1,39,81,65,35,220,C
std-1889,male,group C,some high school,1,1,40,100,61,57,258,B
std-1890,male,group E,high school,0,0,28,78,93,85,284,B
std-1891,male,group D,some college,0,0,42,61,65,91,259,B
std-1892,male,group E,bachelor's degree,0,1,62,64,52,43,221,C
std-1893,male,group B,some college,1,0,32,66,81,76,255,B
std-1894,male,group E,some college,0,1,54,71,60,23,208,C
std-1895,male,group E,high school,1,0,27,67,65,87,246,C
std-1896,male,group D,bachelor's degree,1,0,32,80,48,26,186,D
std-1897,male,group D,associate's degree,1,0,10,79,80,44,213,C
std-1898,male,group D,some college,1,1,74,98,25,68,265,B
std-1899,male,group E,associate's degree,0,0,23,89,73,57,242,C
std-1900,male,group E,master's degree,0,0,53,67,41,76,237,C
std-1901,male,group E,some high school,1,1,57,63,36,50,206,C
std-1902,male,group B,bachelor's degree,0,0,66,44,50,79,239,C
std-1903,male,group B,bachelor's degree,0,1,90,79,54,100,323,A
std-1904,male,group B,associate's degree,1,1,18,74,85,18,195,D
std-1905,male,group E,some college,1,0,52,80,56,61,249,C
std-1906,male,group C,associate's degree,0,0,55,100,79,57,291,B
std-1907,male,group C,bachelor's degree,0,0,8,62,73,56,199,D
std-1908,male,group C,master's degree,1,1,33,92,64,66,255,B
std-1909,male,group D,some high school,0,1,54,75,71,85,285,B
std-1910,male,group D,high school,0,0,45,66,58,70,239,C
std-1911,male,group D,bachelor's degree,0,0,86,43,88,64,281,B
std-1912,male,group C,associate's degree,0,0,13,62,33,31,139,Fail
std-1913,male,group C,some college,1,0,41,75,54,99,269,B
std-1914,male,group A,some high school,1,1,35,76,62,21,194,D
std-1915,male,group C,some college,1,0,48,91,37,70,246,C
std-1916,male,group A,bachelor's degree,1,1,83,34,75,51,243,C
std-1917,male,group A,associate's degree,1,0,71,73,79,48,271,B
std-1918,male,group C,associate's degree,1,1,51,25,55,63,194,D
std-1919,male,group C,master's degree,1,1,48,73,41,77,239,C
std-1920,male,group C,associate's degree,0,0,28,72,63,54,217,C
std-1921,male,group C,bachelor's degree,0,0,27,81,55,60,223,C
std-1922,male,group B,some college,1,1,65,58,81,47,251,B
std-1923,male,group C,high school,0,0,81,100,78,83,342,A
std-1924,male,group D,high school,0,0,84,87,52,79,302,B
std-1925,male,group D,some college,0,0,23,90,94,70,277,B
std-1926,male,group D,associate's degree,1,0,36,87,54,52,229,C
std-1927,male,group C,bachelor's degree,1,1,68,61,72,78,279,B
std-1928,male,group D,some high school,0,0,23,98,57,42,220,C
std-1929,male,group C,high school,1,0,52,79,86,67,284,B
std-1930,male,group C,high school,1,1,37,77,63,64,241,C
std-1931,male,group D,associate's degree,1,0,32,45,53,39,169,D
std-1932,male,group E,associate's degree,1,1,37,50,89,68,244,C
std-1933,male,group B,associate's degree,0,0,47,45,61,34,187,D
std-1934,male,group D,associate's degree,0,0,69,65,55,46,235,C
std-1935,male,group D,some high school,0,0,56,100,51,42,249,C
std-1936,male,group B,some college,0,0,27,91,80,63,261,B
std-1937,male,group C,high school,0,1,38,70,76,63,247,C
